Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.004	98.13	0.77	Gradient Boost (General Model)	11	0.879	141136	349.32334672999633	3259253	0.34	2737	86	446219	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.005	89.22	7.47	Gradient Boost (General Model)	11	0.889	4072	272.8675057966214	2774355	0.57	3019	851	18618	None
MEGAHIT-MaxBin2Refined-VK-3516-media-gw-oil-b_S38_L002.006_sub	99.57	3.46	Neural Network (Specific Model)	11	0.876	98806	315.52711385248006	4198249	0.43	3891	108	226554	None
MEGAHIT-MaxBin2Refined-VK-3516-s2u_S27_L002.001	100.0	0.03	Neural Network (Specific Model)	11	0.937	519463	318.60025542784166	2389665	0.37	2349	13	962648	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-2_S19_L002.31_sub	85.21	3.64	Gradient Boost (General Model)	11	0.949	4664	246.97396768402155	864606	0.41	1114	211	24483	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-3_S40_L002.49_sub	88.53	0.87	Gradient Boost (General Model)	11	0.895	13380	225.19183285849954	792565	0.32	1053	94	32959	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-3_S40_L002.56_sub	62.18	1.4	Gradient Boost (General Model)	11	0.918	3332	225.27132867132866	1049911	0.33	1430	341	9729	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-5_S41_L002.16_sub	74.49	3.96	Gradient Boost (General Model)	11	0.897	3027	242.17136414881622	2151130	0.5	2661	745	8818	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM24-2_S21_L002.63_sub	95.62	0.59	Neural Network (Specific Model)	11	0.928	41746	328.96974063400575	2944548	0.53	2776	134	95449	None
MEGAHIT-MetaBAT2Refined-VK-3516-SA1420-SRM-a_S42_L002.7_sub	99.96	0.01	Neural Network (Specific Model)	11	0.853	93697	300.84586407157434	6729024	0.63	6371	104	307371	None
MEGAHIT-MetaBAT2Refined-VK-3516-SA1420-SRM-b_S43_L002.4	97.55	1.32	Gradient Boost (General Model)	11	0.872	103431	328.24245534797785	5491224	0.46	4871	98	397053	None
MEGAHIT-MetaBAT2Refined-VK-3516-a1u_S32_L002.5	100.0	0.27	Gradient Boost (General Model)	11	0.874	52477	350.4739010989011	4374503	0.64	3640	148	192447	None
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	100.0	1.11	Gradient Boost (General Model)	11	0.894	87821	326.4643939393939	4334123	0.65	3960	78	353775	None
MEGAHIT-MetaBAT2Refined-VK-3516-l3u_S16_L002.1	99.76	2.86	Gradient Boost (General Model)	11	0.896	185102	320.1913595313644	4387097	0.64	4097	43	341328	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.1	99.99	0.87	Neural Network (Specific Model)	11	0.917	326594	323.7183561643836	3859356	0.57	3650	43	486796	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.4	99.89	3.04	Neural Network (Specific Model)	11	0.869	93560	324.5361567920703	4964989	0.6	4439	103	206810	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.5	98.57	1.52	Gradient Boost (General Model)	11	0.879	97017	325.9282141070535	4443081	0.67	3998	72	492301	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.6	99.29	0.12	Neural Network (Specific Model)	11	0.9	181802	348.8682547399125	2390854	0.32	2057	42	300658	None
MEGAHIT-MetaBAT2Refined-VK-3516-l6f_S34_L002.1	98.34	1.8	Gradient Boost (General Model)	11	0.913	60185	341.62297090352223	3659302	0.63	3265	127	168939	None
MEGAHIT-MetaBAT2Refined-VK-3516-methanol-a_S14_L002.1	99.51	0.31	Neural Network (Specific Model)	11	0.882	37563	314.1698707847463	3386289	0.42	3173	154	126809	None
MEGAHIT-MetaBAT2Refined-VK-3516-s2u_S27_L002.12	95.36	2.95	Gradient Boost (General Model)	11	0.906	12314	322.6635559921414	4345896	0.37	4072	548	58139	None
MEGAHIT-MetaBAT2Refined-VK-3516-s2u_S27_L002.7	95.74	0.25	Neural Network (Specific Model)	11	0.911	162631	326.3170075349839	1992892	0.36	1858	26	259490	None
MEGAHIT-MetaBAT2Refined-VK-3516-s3f_S33_L002.2_sub	99.99	0.05	Neural Network (Specific Model)	11	0.906	70004	317.0596658711217	1755910	0.35	1676	38	176346	None
